[ 2025-02-03 19:23:58,249 ] 16 root - INFO - Initiate the data ingestion
[ 2025-02-03 19:24:35,545 ] 63 root - INFO - Performed train Test Split on the Datframe
[ 2025-02-03 19:24:35,545 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-03 19:24:35,545 ] 70 root - INFO - Exporting train and test file path
[ 2025-02-03 19:24:35,746 ] 74 root - INFO - Exported train and test file path.
[ 2025-02-03 19:24:35,746 ] 18 root - INFO - Data initiation Completed
[ 2025-02-03 19:24:35,774 ] 23 root - INFO - Initiate the data validation
[ 2025-02-03 19:24:35,914 ] 33 root - INFO - Required number of columns:2
[ 2025-02-03 19:24:35,914 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-03 19:24:35,914 ] 33 root - INFO - Required number of columns:2
[ 2025-02-03 19:24:35,914 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-03 19:24:36,331 ] 25 root - INFO - data Validation Completed
[ 2025-02-03 19:24:36,331 ] 30 root - INFO - Initiate the Data tranformation
[ 2025-02-03 19:24:36,331 ] 60 root - INFO - Entered initiate_data_transformation method of Datatransformation class
[ 2025-02-03 19:24:36,331 ] 62 root - INFO - Starting Data Tranformation
[ 2025-02-03 19:24:36,393 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-03 19:24:36,393 ] 53 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-03 19:24:36,424 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-03 19:24:36,439 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-03 19:24:36,439 ] 32 root - INFO - Data Transformation Completed
[ 2025-02-03 19:24:36,439 ] 35 root - INFO - Model Training sstared
[ 2025-02-03 19:31:47,885 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-03 19:31:47,885 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-03 19:31:47,885 ] 102 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_03_2025_19_23_55\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916479934813608, precision_score=0.991042345276873, recall_score=0.9922543823889115), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.970344009489917, precision_score=0.960093896713615, recall_score=0.9808153477218226))
[ 2025-02-03 19:31:47,893 ] 40 root - INFO - Model Training artifact created
